Time (ms),Type,Order ID,Size,Price,Direction,,Ask Price 1,Ask Size 1,Bid Price 1,Bid Size 1,,Price (plot),Ask Price 1 (plot),Ask Size 1 (plot),Bid Price 1 (plot),Bid Size 1 (plot)
34200.4172,4,4631442,76,2240000,-1,,2239500,920,2237500.00,74,,224,223.95,920,223.75,74
34200.4172,4,4631569,20,2240000,-1,,2239500,900,2237500.00,74,,224,223.95,900,223.75,74
34200.4172,4,4632895,15,2240000,-1,,2239500,885,2237500.00,74,,224,223.95,885,223.75,74
34200.4172,4,4632989,10,2240000,-1,,2239500,875,2237500.00,74,,224,223.95,875,223.75,74
34200.4172,4,10054324,25,2240000,-1,,2239500,850,2237500.00,74,,224,223.95,850,223.75,74
34200.4172,4,11349573,100,2240000,-1,,2239500,750,2237500.00,74,,224,223.95,750,223.75,74
34200.4172,4,11830089,50,2240000,-1,,2239500,700,2237500.00,74,,224,223.95,700,223.75,74
34200.4172,4,12490851,183,2240000,-1,,2239500,517,2237500.00,74,,224,223.95,517,223.75,74
34200.41981,4,12490851,100,2240000,-1,,2239500,417,2237500.00,74,,224,223.95,417,223.75,74
34200.53842,4,12490851,200,2240000,-1,,2239500,217,2237500.00,74,,224,223.95,217,223.75,74
34200.55374,5,0,100,2239700,1,,2239500,217,2237500.00,74,,223.97,223.95,217,223.75,74
34200.56794,4,12490851,17,2240000,-1,,2239500,200,2237500.00,74,,224,223.95,200,223.75,74
34200.56794,4,13561719,100,2240000,-1,,2239500,100,2237500.00,74,,224,223.95,100,223.75,74
34200.56794,4,14482478,100,2240000,-1,,2239500,20,2237500.00,74,,224,223.95,20,223.75,74
34200.56794,5,0,69,2240000,-1,,2239500,20,2237500.00,74,,224,223.95,20,223.75,74
34200.56824,1,16240373,100,2240000,-1,,2239500,100,2237500.00,74,,224,223.95,100,223.75,74
34200.57041,4,16240373,100,2240000,-1,,2239500,20,2237500.00,74,,224,223.95,20,223.75,74
34200.57041,5,0,190,2240000,-1,,2239500,20,2237500.00,74,,224,223.95,20,223.75,74
34200.57041,5,0,10,2240000,-1,,2239500,20,2237500.00,74,,224,223.95,20,223.75,74
34200.57071,1,16240856,100,2240000,-1,,2239500,100,2237500.00,74,,224,223.95,100,223.75,74
34200.57403,4,16240856,100,2240000,-1,,2239500,20,2237500.00,74,,224,223.95,20,223.75,74
34200.5744,1,16241642,100,2240000,-1,,2239500,100,2237500.00,74,,224,223.95,100,223.75,74
34200.63135,1,16252480,100,2239500,-1,,2239500,100,2237500.00,74,,223.95,223.95,100,223.75,74
34200.77153,4,16252480,100,2239500,-1,,2239500,100,2237500.00,74,,223.95,223.95,100,223.75,74
34200.77191,1,16275687,75,2239500,-1,,2239500,75,2237500.00,74,,223.95,223.95,75,223.75,74
34200.87379,1,16289323,100,2238400,1,,2239500,75,2238400.00,100,,223.84,223.95,75,223.84,100
34200.87491,4,16289323,100,2238400,1,,2239500,75,2237500.00,74,,223.84,223.95,75,223.75,74
34200.88178,1,16290483,100,2238400,1,,2239500,75,2238400.00,100,,223.84,223.95,75,223.84,100
34200.8915,4,16275687,15,2239500,-1,,2239500,60,2238400.00,100,,223.95,223.95,60,223.84,100
34201.29095,1,16352638,100,2238600,-1,,2239500,100,2238400.00,100,,223.86,223.95,100,223.84,100
34201.29141,4,16352638,100,2238600,-1,,2239500,60,2238400.00,100,,223.86,223.95,60,223.84,100
34201.37144,4,16275687,60,2239500,-1,,2239500,100,2238400.00,100,,223.95,223.95,100,223.84,100
34201.39534,4,16241642,100,2240000,-1,,2239500,20,2238400.00,100,,224,223.95,20,223.84,100
34201.39534,5,0,90,2240000,-1,,2239500,20,2238400.00,100,,224,223.95,20,223.84,100
34202.01207,5,0,100,2238800,1,,2239500,20,2238400.00,100,,223.88,223.95,20,223.84,100
34202.01278,5,0,100,2238800,1,,2239500,20,2238400.00,100,,223.88,223.95,20,223.84,100
34202.02828,5,0,100,2238800,1,,2239500,20,2238400.00,100,,223.88,223.95,20,223.84,100
34202.27905,3,16290483,100,2238400,1,,2239500,20,2237900.00,100,,223.84,223.95,20,223.79,100
